"ID","FOOD_NAME","FOOD_IMG","FOOD_TYPE1","FOOD_TYPE2","FOOD_DETAIL","FOOD_PRICE"
6202,"코카)미닛오렌지P1.5L","70b83b40-ddea-4343-8a5c-52eaaf69b021.jpg","음료","과즙음료,음료","몸에 좋은 칼슘, 비타민 A,C,E를 강화하여 하루 한잔으로 영양까지 보충해주는 건강한 오렌지 주스입니다",4900
6203,"서울F&amp;B)브루빈디카아메","d7132f2c-3635-441c-99b5-abfa3032b859.jpg","음료","냉장커피,커피음료","카페인을 90% 이상 제거해 늦은 밤에도 음용이 가능한 디카페인 커피",2500
6204,"서울F&amp;B)브루빈디카라떼","34392ae3-0a27-48fd-b931-2bcec99b3f97.jpg","음료","냉장커피,커피음료","카페인 섭취가 많은 학생, 직장인들의 달콤한 꿈을 지켜주는 굿나잇커피",2500
6205,"서울F&amp;B)흑임자우유250ml","19782beb-122b-4798-858f-c97e730d20da.jpg","음료","2+1,가공유,우유","[CU 전용]검은씨앗 흑임자와 강원도산 우유로 만든 고소한 흑임자우유",2000
6206,"롯데)핫식스더킹포스캔355","acdcf295-bdcd-4f33-bc4e-468fb8cc9b18.jpg","음료","1+1,에너지음료,음료","하절기 음용하기 좋은 자몽 + 시트러스 맛의 저칼로리(13kcal) 에너지음료",2300
6207,"쟈뎅)new오렌지자몽블랙티","02f0caca-f146-4b3a-b6af-dfda1c209d1a.jpg","음료","차음료,음료","트렌드에 맞춰 당분은 줄이고, 저칼로리 컨셉으로 리뉴얼되어 재출시",2000
6208,"del)빅볼컵얼음160g","de9c40e2-2ed0-491b-a357-7e96569194a0.jpg","음료","얼음,아이스드링크","여름 시즌 한정 운영 빅볼아이스컵 출시 , 홈술,홈파티용 얼음컵",1300
6209,"해태)네버스탑500ml","e41466b4-cfe1-41e7-b4e0-df1292e5437e.jpg","음료","스포츠,이온음료,음료","[CU 단독]90년대생 수련회, 수학여행 필수아이템, 하절기 한정 CU단독운영",1800
6210,"닥터유)단백질초코240ml","9637907d-a081-4c23-b211-87c7d419a1e4.jpg","음료","건강음료,음료","닥터유에서 나온 단백질음료, 1병 당 단백질 12g 함유(닥터유단백질초코)",2000
6211,"닥터유)단백질바나나240ml","8492b318-cf09-4ea6-a3ac-d46c94a7b3c5.jpg","음료","건강음료,음료","닥터유에서 나온 단백질음료, 1병 당 단백질 12g 함유(닥터유단백질바나나)",2000
6212,"웅진)자연은토마토P1.5L","c3c1b834-30f2-40e4-bc1e-7dd04309563b.jpg","음료","과즙음료,음료","1.5L 대규격 토마토 음료",4200
6213,"롯데)델몬트포도P1.5L","602fcf38-519e-4e3e-9b27-5288c141e1c4.jpg","음료","과즙음료,음료","1.5L 대규격 포도 음료",4900
6214,"롯데)델몬트알로에P1.5L","93cd7e04-7c93-4171-a9d8-9dc6694be199.jpg","음료","과즙음료,음료","1.5L 대규격 알로에 음료",4500
6215,"롯데)델몬트오렌지1.5L","2b9268c1-4bcb-44b3-8669-587d91b7bcc5.jpg","음료","과즙음료,음료","1.5L 대규격 오렌지 음료",4900
6216,"코카)몬스터파라다이스캔","3a35a797-b40e-4862-821c-4e098a7509d6.jpg","음료","에너지음료,음료","몬스터울트라(저칼로리 라인) 신규 플레이버 출시",2200
6217,"웅진)자연은사과1.5L","de452e35-bb73-499e-85f6-bebcf2964326.jpg","음료","과즙음료,음료","사과즙 30% 함유 대규격 자연은 사과주스",4200
6218,"웅진)자연은망고1.5L","996928b3-8dc8-4644-8a4b-0b938a2aef7d.jpg","음료","과즙음료,음료","망고즙 20% 함유 대규격 자연은 망고주스",4700
6219,"동서)심플리블랙240ml","ff842109-521c-4f30-94a0-1322f317cf35.jpg","음료","2+1,냉장커피,커피음료","콜롬비아와 과테말라 원두를 미디엄 로스팅하여 갓볶은 원두 향을 담은 아메리카노",1900
6220,"오리온)제주용암수P530ml","458abcd0-4207-4900-8e7f-099db0ebc3cc.jpg","음료","2+1,생수,국산생수","화산섬 제주의 '용암해수'이용, 미네랄 블렌딩 기술로 탄생한 제주 용암수",1000
6221,"롯데)델몬트제주감귤1.5L","5db8a29c-087e-4efc-b431-49457fa627bc.jpg","음료","과즙음료. 음료","국내산 제주감귤을 사용한 델몬트제주감귤1.5L",3800
6222,"서강)홍루이젠밀크티휴","fcea3881-4d59-49d2-ae62-4ad56bc46ce1.jpg","음료","가공유","대만의 국민샌드위치 홍루이젠의 비법을 담은 밀크티. 영국 요크셔 홍차, 다크머스크바도 흑당 등 차별된 재료를 사용한 정통 밀크티. 유당분해 우유를 사용하여 배앓이 없이 먹을수 있도록 만든 상품",2700
6223,"비어)칭따오논알콜캔330ml","96c99f91-3660-4a75-bcef-6c231cbe7ce9.jpg","음료","탄산음료,음료","칭따오 맥주의 노하우를 담은 공법으로 맥주 본연의 맛과 풍미를 유지하고 있는 칭따오 논알콜릭",2200
6224,"돈시몬)착즙오렌지주스1L","4c1de9e8-bd4e-4f75-901a-c58b41639f33.jpg","음료","냉장주스,음료","지중해 발렌시아 오렌지를 수확하여 24시간 안에 착즙한 리얼 주스.",4900
6225,"동아)나랑드사이다캔245ml","5e9b4336-6b32-47b1-91cf-9868a0cbe60d.jpg","음료","탄산음료,음료","1. 깔끔하고 가볍게 즐기는 0칼로리사이다 2. 4가지 제로(0) -&gt; 칼로리, 설탕, 색소, 보존료 제로!",1200
6226,"서울)강릉커피라떼컵250ml","c1628a59-eb73-4ca8-8257-9f68d771b8de.jpg","음료","2+1,냉장커피,커피음료","- 대한민국 1세대 바리스타 박이추 바리스타가 직화식으로 로스팅한 커피 - 에티오피아 싱글오리진 원두를 콜드브루 방식으로 추출하여 커피 본연의 풍미를 살린 제품 - 원유 함량 60%로 부드러운 맛을 느낄 수 있는 라떼",2700
6227,"한독)레디큐프로캔","259dbde7-a08f-4c7f-9ceb-666468095351.jpg","음료","1+1,숙취해소음료,건강기능음료","커큐민, 유산균 함유로 숙취해소와 장트러블까지 한번에 해소할 수있는 숙취해소음료, 숙취해소는 기본! 음주 다음 날 장트러블까지 케어하는 레디큐프로",6000
6228,"서울)타트체리250ml","39d67f50-9d7a-495f-952f-26c854ab3f5c.jpg","음료","과즙음료,음료","1. 최근 트렌디한 지중해 터키산 타트체리 원료로 만든 최초 RTD 음료 2. 저분자 콜라겐 1컵 1000mg 함유",1800
6229,"OKF)레몬C스파클링500ml","ce72c533-d788-4451-b7bc-921251473382.jpg","음료","음료,탄산음료","상큼한 레몬 탄산, 영국산 비타민C 함유",1800
6230,"셀렉스)프로핏초코330ml","bbfb7726-e6d9-4a4d-ab4a-835403902ebb.jpg","음료","2+1,가공유,우유","프리미엄 단백질 20g, L-카르니틴 200mg 함유, 추가 공정으로 지방과 유당 제거(분리유청단백질WPI+분리우유단백질MPI) 운동으로 갈증날때 텁텁함 없이 마실수 있는 깔끔한 초코맛",3300
6231,"코카)코카제로P1.5L","13a166ac-f3d1-4d9b-85dc-fbe38f1fd5ef.jpg","음료","1+1,탄산음료,음료","1. 제로칼로리 대용량 코카콜라상품! 2. 세계 대표 청량음료 코카콜라상품",3900
6232,"빙그레)닥터캡슐베리","b2c70bd4-8a35-4f05-99ac-76c41a14345f.jpg","음료","1+1,발효유,요구르트","슈퍼푸드로 알려진 블루베리, 크렌베리, 라즈베리를 믹스한 세번째 닥터캡슐. 장내 유익균인 프로바이오틱스가 자라도록 도와주는 영양원인 올리고당/식이섬유 프리바이오틱스 함유.",2200
6233,"동원)얼라이브청포도250ml","9c2e3906-dda2-445b-aadd-9a0c94cec183.png","음료","2+1,요구르트,음료","- 트렌디한 과일 머스캣청포도로 건강하고 생기있는 하루를 챙겨줄 신선한 한 잔! - 식이섬유, 유산균, 비타민C로 챙기는 건강한 하루, 카페에서 마시던 에에드의 맛 - 산뜻한 맛에 청량감까지 더해져 갈증해소에도 안성맞춤",1700
6234,"레쓰비)그란데헤이즐넛500","5cfc080f-1081-40f8-bab4-156c12357c2d.jpg","음료","1+1,캔/병커피,커피음료","",2200
